piid,agency,vendor,value,description,fpds_status,fpds_link,deleted_date,savings
75F40123F80393,Department of Health and Human Services,"ARLLUK TECHNOLOGY SOLUTIONS, LLC",2190060.8,O&M INFRASTRUCTURE SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7524&PIID=75F40123F80393&modNumber=P00002&idvAgencyID=&idvPIID=47QTCA18D001F&contractType=AWARD,5/9/2025,42646.4
50310221F0137,Securities and Exchange Commission,"C2 ALASKA, LLC",2182154.3,INTEGRATED PROFESSIONAL ACQUISITION SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=5000&PIID=50310221F0137&modNumber=P00008&idvAgencyID=&idvPIID=50310221D0010&contractType=AWARD,5/9/2025,1102464
75D30124C19590,Department of Health and Human Services,REGENTS OF THE UNIVERSITY OF MICHIGAN,1946502,PEPFAR DATA CURATION SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C19590&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,1567394
75D30122F15186,Department of Health and Human Services,RESEARCH TRIANGLE INSTITUTE,1942202,SOCIAL AND ECONOMIC BARRIERS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122F15186&modNumber=P00001&idvAgencyID=&idvPIID=HHSD2002013M53964B&contractType=AWARD,5/9/2025,8000
75D30122F15418,Department of Health and Human Services,BRUNET GARCIA ADVERTISING INC,1882283.28,MARKETING CONSULTING SERVICES EARNED & PAID MEDIA,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122F15418&modNumber=P00008&idvAgencyID=&idvPIID=HHSD2002015M88153B&contractType=AWARD,5/9/2025,549069.76
75D30124C18485,Department of Health and Human Services,SIDEM LLC,1493451.72,MEETING SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C18485&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,883920.99
75D30125F20374,Department of Health and Human Services,"DRT STRATEGIES, INC.",1345633.84,SHAREPOINT ONLINE SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30125F20374&modNumber=P00001&idvAgencyID=&idvPIID=75N98120D00211&contractType=AWARD,5/9/2025,1197099.38
75D30124C18442,Department of Health and Human Services,STRATEGIC INNOVATIVE SOLUTIONS LLC,1332636.8,"VACS SCIENTIFIC, PROFESSIONAL, AND TECHNICAL SUPPORT",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C18442&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,664080
1333LB22F00000214,Department of Commerce,"AUGUST SCHELL ENTERPRISES, INC.",946086.56,BROADCOM API GATEWAY SOFTWARE LICENSES AND MAINTENANCE SUPPORT.,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1323&PIID=1333LB22F00000214&modNumber=P25003&idvAgencyID=&idvPIID=NNG15SD80B&contractType=AWARD,5/9/2025,372788.76
Unavailable,USAID,Unavailable,750762,Unavailable for legal reasons,Unavailable,https://fpds.gov,5/9/2025,0
12FPC423P0114,Department of Agriculture,TEYA SUPPORT SERVICES LLC,616535.42,CONTRACTOR SUPPORT FOR PUBLIC AFFAIRS SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12D0&PIID=12FPC423P0114&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,421473.95
75D30123C17625,Department of Health and Human Services,GINTECH LLC,572167.68,EXECUTIVE ASSISTANT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123C17625&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,195455.4
75D30123C18070,Department of Health and Human Services,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,561248.72,YOUTH DIGITAL MARKETING SURVEILLANCE,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123C18070&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,5205
140L0622F0299,Department of the Interior,"ADVANCED RESOURCE SOLUTIONS, INC",525545.51,ARIZONA TRAVEL,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1422&PIID=140L0622F0299&modNumber=P00005&idvAgencyID=&idvPIID=140L0621A0029&contractType=AWARD,5/9/2025,0
75D30123C17689,Department of Health and Human Services,"THE LEWIN GROUP, INC.",489500,R&D SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123C17689&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,0
Unavailable,USAID,Unavailable,372788.72,Unavailable for legal reasons,Unavailable,https://fpds.gov,5/9/2025,0
75D30123C17590,Department of Health and Human Services,"TAMAYO FEDERAL SOLUTIONS, LLC",339081.16,MONITORING AND EVALUATION SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123C17590&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,172468.58
75D30124C18560,Department of Health and Human Services,GINTECH LLC,293145.6,BUDGET ANALYST SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C18560&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,148550.4
75N93025F00006,Department of Health and Human Services,LUMINA CORPS INC.,282538.17,MEETING AND CONFERENCE SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N93025F00006&modNumber=P00001&idvAgencyID=&idvPIID=75N93023D00005&contractType=AWARD,5/9/2025,0
75N91023F00018,Department of Health and Human Services,KILIUDA CONSULTING,267478.2,3 CONTRACT SPECIALIST,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N91023F00018&modNumber=P00003&idvAgencyID=&idvPIID=75N91022A00001&contractType=AWARD,5/9/2025,0
12319822F0033,Department of Agriculture,"IMEC GROUP, LLC",240000,"PAINTING, PATCHING, AND HANGING OF ITEMS OVER 10LBS",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12F2&PIID=12319822F0033&modNumber=P00003&idvAgencyID=&idvPIID=12319821A0002&contractType=AWARD,5/9/2025,60000
12445024P0046,Department of Agriculture,V.M.R. CONSULTING LLC,235000,COORDINATION OF ACTIVITIES OF THE USDA CARIBBEAN CLIMATE HUB,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12445024P0046&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,141000
75D30124C20305,Department of Health and Human Services,THE PENNSYLVANIA STATE UNIVERSITY,230023,DEVELOPMENT AND DEMONSTRATION OF MINE SAFETY AND HEALTH TECHNOLOGY,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C20305&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,0
75D30123P15788,Department of Health and Human Services,THERMO ELECTRON NORTH AMERICA LLC,185180.4,MAINTAINANCE SERVICE AGREEMENT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123P15788&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,92590.2
95332420F0140,MILLENNIUM CHALLENGE CORPORATION,AGILQUEST CORPORATION,183866.6,SPACE MANAGEMENT SYSTEM,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9543&PIID=95332420F0140&modNumber=P00007&idvAgencyID=&idvPIID=GS35F470BA&contractType=AWARD,5/9/2025,0
12318724F0353,Department of Agriculture,"GARTNER, INC.",144070,CFO RESEARCH TOOLS AND SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318724F0353&modNumber=P00001&idvAgencyID=&idvPIID=03310324D0001&contractType=AWARD,5/9/2025,0
75D30124F19562,Department of Health and Human Services,WEBMD HEALTH CORP.,137231.98,RE-CERTIFICATION OF BARTONELLA CLINICIAN EDUCATION MATERIALS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F19562&modNumber=P00002&idvAgencyID=&idvPIID=GS02F0034W&contractType=AWARD,5/9/2025,40300
HC101322FH220,Department of Defense,MCI COMMUNICATIONS SERVICES INC,134018.01,LONG DISTANCE VOICE SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9700&PIID=HC101322FH220&modNumber=P00002&idvAgencyID=&idvPIID=HC101318A0004&contractType=AWARD,5/9/2025,0
75D30123P15914,Department of Health and Human Services,THERMO ELECTRON NORTH AMERICA LLC,131130.9,"TRACE 1300 GC, TRIPLUS RSH AUTOSAMPLER SERVICE PLAN",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123P15914&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,43710.3
12318723F0597,Department of Agriculture,MANAGEMENT & ENGINEERING TECHNOLOGIES INTERNATIONAL INC,120922.16,ASIA PACIFIC ENVIRONMENTAL AND DISASTER RESILIENCE EXPERT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0597&modNumber=P00003&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,5/9/2025,0
1240BD22C0010,Department of Agriculture,"NATURAL RESOURCES, WASHINGTON STATE DEPARTMENT OF",120743,DATA SERVICES AND CLIMATE CHANGE VULNERABILITY INDEX FOR VASCULAR PLANTS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=1240BD22C0010&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,0
12318723F0432,Department of Agriculture,MANAGEMENT & ENGINEERING TECHNOLOGIES INTERNATIONAL INC,120549.03,ASIA PACIFIC-INDIA URBAN ENVIRONMENTAL STEWARDSHIP CONSULTANTS SERVICES: FOREST SERVICE INTERNATIONAL PROGRAMS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0432&modNumber=P00001&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,5/9/2025,0
36C26224P1551,Department of Veterans Affairs,WAHLBANGERS DRUM CIRCLE,120000,DRUM CIRCLE MUSIC THERAPY SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C26224P1551&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,98400
12318725F0072,Department of Agriculture,MANAGEMENT & ENGINEERING TECHNOLOGIES INTERNATIONAL INC,118941.61,COLOMBIA ENVIRONMENTAL STEWARDSHIP CONSULTANTS SERVICES: FOREST SERVICE INTERNATIONAL PROGRAMS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318725F0072&modNumber=P00001&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,5/9/2025,0
12318723F0625,Department of Agriculture,MANAGEMENT & ENGINEERING TECHNOLOGIES INTERNATIONAL INC,108149.7,DEMOCRATIC REPUBLIC OF CONGO YOUTH CLIMATE CORPS COORDINATOR SERVICES: FOREST SERVICE INTERNATIONAL PROGRAMS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0625&modNumber=P00002&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,5/9/2025,0
75D30124P19626,Department of Health and Human Services,STRYDER CORP,100000,HANDSHAKE CAREER PLATFORM SUBSCRIPTION,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124P19626&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,0
1331L525F13521018,Department of Commerce,BLUE TECH INC.,93817.69,GOVDELIVERY CITIZEN EXPERIENCE PLATFORM SOFTWARE,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1301&PIID=1331L525F13521018&modNumber=P25001&idvAgencyID=&idvPIID=1331L523A13OS0060&contractType=AWARD,5/9/2025,0
12318724F0448,Department of Agriculture,TRAINING RESOURCES GROUP INC,86786.31,"DISASTER MANAGEMENT SEMINAR FACILITATION SERVICES, FOREST SERVICE INTERNATIONAL PROGRAMS",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318724F0448&modNumber=P00001&idvAgencyID=&idvPIID=12318720A0001&contractType=AWARD,5/9/2025,0
12318725F0047,Department of Agriculture,MANAGEMENT & ENGINEERING TECHNOLOGIES INTERNATIONAL INC,84041.04,ASIA CLIMATE FINANCE ADVISOR SERVICES: FOREST SERVICE INTERNATIONAL PROGRAMS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318725F0047&modNumber=P00001&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,5/9/2025,0
12FPC423P0065,Department of Agriculture,"AGNET MEDIA, INC.",82500,FLORIDA RADIO AND MEDIA OUTREACH SERVICES - NATURAL RESOURCES CONSERVATION SERVICE,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12D0&PIID=12FPC423P0065&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,54000
12318723F0452,Department of Agriculture,MANAGEMENT & ENGINEERING TECHNOLOGIES INTERNATIONAL INC,79297.74,VIETNAM FOREST AND CLIMATE SUPPORT CONSULTANT SERVICES: FOREST SERVICE INTERNATIONAL PROGRAMS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0452&modNumber=P00002&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,5/9/2025,0
1305M224F0141,Department of Commerce,"BUSINESS MANAGEMENT RESEARCH ASSOCIATES, INC.",77567,APPROPRIATION LAW AND PROGRAM MANAGEMENT TRAINING SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1330&PIID=1305M224F0141&modNumber=P25001&idvAgencyID=&idvPIID=1305M220ANWWG0071&contractType=AWARD,5/9/2025,0
HC101322FG346,Department of Defense,MCI COMMUNICATIONS SERVICES INC,75847.34,LONG DISTANCE VOICE SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9700&PIID=HC101322FG346&modNumber=P00006&idvAgencyID=&idvPIID=HC101318A0004&contractType=AWARD,5/9/2025,0
75N92024P00281,Department of Health and Human Services,ACMG FOUNDATION FOR GENETIC AND GENOMIC MEDICINE,75000,"TRAINING: AMERICAN COLLEGE OF MEDICAL GENETICS AND GENOMICS, GENOMIC PATHWAYS PROGRAM",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N92024P00281&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,55000
75D30123P17053,Department of Health and Human Services,ADVANCEMENT STRATEGY LLC,74181,508 SERVICES DOCUMENT COMPLIANCE,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123P17053&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,50181
12445024F0016,Department of Agriculture,"UNIFIED BUSINESS SOLUTIONS, LLC",70341.6,"STAFFING SUPPORT SERVICES, ENVIRONMENTAL TECHNICIAN: USDA FOREST SERVICE, EAST ZONE",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12445024F0016&modNumber=P00004&idvAgencyID=&idvPIID=12445022D0002&contractType=AWARD,5/9/2025,0
12318724F0467,Department of Agriculture,TRAINING RESOURCES GROUP INC,69372.99,"NATURAL RESOURCES LAW ENFORCEMENT SEMINAR FACILITATION SERVICES, FOREST SERVICE INTERNATIONAL PROGRAMS",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318724F0467&modNumber=P00001&idvAgencyID=&idvPIID=12318720A0001&contractType=AWARD,5/9/2025,0
75D30124F19843,Department of Health and Human Services,CDW GOVERNMENT LLC,62000,COMPUTER ADMINISTRATIVE SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F19843&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC04B&contractType=AWARD,5/9/2025,0
75D30124P19265,Department of Health and Human Services,"UNICO, INC.",61033,EXPERIMENTAL DETERMINATION OF INSTALLED PASSENGER JET BRIDGE VENTILATION SYSTEM CHARACTERISTICS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124P19265&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,0
HC101323FA982,Department of Defense,MCI COMMUNICATIONS SERVICES INC,59192.67,LONG DISTANCE VOICE SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9700&PIID=HC101323FA982&modNumber=P00004&idvAgencyID=&idvPIID=HC101318A0004&contractType=AWARD,5/9/2025,0
FA800325F0005,Department of Defense,LOGISTICS SYSTEMS INCORPORATED,53958.98,"ENTERPRISE DATA ENGINEERING SERVICES, ADVANA ENTERPRISE DATA, ANALYTICS, AND AI PLATFORM: DEPARTMENT OF DEFENSE, CHIEF DIGITAL AND ARTIFICIAL INTELLIGENCE OFFICE",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9700&PIID=FA800325F0005&modNumber=P00002&idvAgencyID=&idvPIID=47QTCH18D0036&contractType=AWARD,5/9/2025,0
75D30124F19023,Department of Health and Human Services,"INTEGRATION TECHNOLOGIES GROUP, INC.",53427.9,HPE BLADE COMPUTER SYSTEM WARRANTY,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F19023&modNumber=P00001&idvAgencyID=&idvPIID=HHSN316201500057W&contractType=AWARD,5/9/2025,0
75R60221F80058,Department of Health and Human Services,"INTERACTIVE COMMUNICATIONS SOLUTIONS GROUP, INC.",53311.05,ARTICULATE 360 SOFTWARE LICENSES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7526&PIID=75R60221F80058&modNumber=P00005&idvAgencyID=&idvPIID=GS35F0207P&contractType=AWARD,5/9/2025,10662.21
75N94024F00147,Department of Health and Human Services,"ASTRIX TECHNOLOGY, LLC",52899.84,"PROGRAM SPECIALIST, TEMPORARY HELP: NATIONAL INSTITUTE FOR DIABETES AND DIGESTIVE AND KIDNEY DISEASES",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N94024F00147&modNumber=P00001&idvAgencyID=&idvPIID=GS07F147DA&contractType=AWARD,5/9/2025,0
140D0424C0085,Department of the Interior,"CHENEGA GOVERNMENT MISSION SOLUTIONS, LLC",51732.9,EXECUTIVE ADMINISTRATIVE SUPPORT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1406&PIID=140D0424C0085&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,0
75D30124P19889,Department of Health and Human Services,NORAXON USA INC,50810,NORAXON ULTIUM MEDICAL EQUIPMENT MOTION SENSOR,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124P19889&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,0
75D30123P16733,Department of Health and Human Services,LUMINEX CORP,50490,INTELIFLEX LABORATORY EQUIPMENT SERVICE IMMUNOLOGY,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123P16733&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,25245
75D30124P19829,Department of Health and Human Services,GENSCRIPT USA INC,49981,CUSTOM MONOCLONAL ANTIBODIES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124P19829&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,0
75N92024F00112,Department of Health and Human Services,"NEW TECH SOLUTIONS, INC.",49490,"WEIGHTS & BIASES SOFTWARE TO MANAGE DEEP LEARNING MODEL TRAINING AND TRACK MACHINE DETAILS: NATIONAL HEART, LUNG, AND BLOOD INSTITUTE, DIVISION OF INTRAMURAL RESEARCH",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N92024F00112&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC82B&contractType=AWARD,5/9/2025,0
75N95024P00258,Department of Health and Human Services,LIFE TECHNOLOGIES CORPORATION,49454.4,QUANTSTUDIO 12K INSTRUMENT PREVENTATIVE MAINTENANCE AND SERVICE AGREEMENT,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N95024P00258&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,33454.4
12318724F0531,Department of Agriculture,MANAGEMENT & ENGINEERING TECHNOLOGIES INTERNATIONAL INC,49304.08,"TECHNICAL ADVISOR, INTERNATIONAL CLIMATE CHANGE SEMINAR: FOREST SERVICE INTERNATIONAL PROGRAMS",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318724F0531&modNumber=P00001&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,5/9/2025,0
75R60224F80110,Department of Health and Human Services,IT1 SOURCE LLC,48564.98,PLURALSIGHT SOFTWARE,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7526&PIID=75R60224F80110&modNumber=P00001&idvAgencyID=&idvPIID=HHSN316201500059W&contractType=AWARD,5/9/2025,0
75D30124P19182,Department of Health and Human Services,"SYNERGY AMERICA, INC.",48000,OCCUPATIONAL DATA FOR HEALTH PRODUCT REPRESENTATION IN HEALTH LEVEL 7 AND INTEGRATING THE HEALTHCARE ENTERPRISE INFORMATION STANDARDS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124P19182&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,0
75N94024P00084,Department of Health and Human Services,NIKON INSTRUMENTS INC,46000,CSU-W1 SPINNING DISK LASER SYSTEM SERVICE AGREEMENT: NATIONAL INSTITUTE FOR DIABETES AND DIGESTIVE AND KIDNEY DISEASES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N94024P00084&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,0
75N93024F00027,Department of Health and Human Services,LUMINA CORPS INC.,45337.46,MEETING AND CONFERENCE SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N93024F00027&modNumber=P00002&idvAgencyID=&idvPIID=75N93023D00005&contractType=AWARD,5/9/2025,0
